abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
mailbox;broadcast;0;1;120;44870;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45874;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;45916;120
mailbox;broadcast;0;1;120;46037;120
mailbox;broadcast;0;1;120;46037;120
mailbox;broadcast;0;1;120;46037;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;1;120;46613;120
mailbox;broadcast;0;2;120;54186;120
mailbox;broadcast;0;2;120;55817;120
mailbox;broadcast;0;2;120;55817;120
mailbox;broadcast;0;2;120;56942;120
