abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
mailbox;allgather;1;1;120;27266;120
mailbox;allgather;1;1;120;28937;120
mailbox;allgather;1;1;120;29028;120
mailbox;allgather;1;1;120;26269;120
mailbox;allgather;1;1;120;26790;120
mailbox;allgather;1;1;120;27934;120
mailbox;allgather;1;1;120;27818;120
mailbox;allgather;1;1;120;27356;120
mailbox;allgather;1;1;120;26810;120
mailbox;allgather;1;1;120;26396;120
mailbox;allgather;1;1;120;28044;120
mailbox;allgather;1;1;120;26269;120
mailbox;allgather;1;1;120;26978;120
mailbox;allgather;1;1;120;26269;120
mailbox;allgather;1;1;120;28758;120
mailbox;allgather;1;1;120;28669;120
mailbox;allgather;1;1;120;28161;120
mailbox;allgather;1;1;120;27146;120
mailbox;allgather;1;1;120;26823;120
mailbox;allgather;1;1;120;26182;120
mailbox;allgather;1;1;120;26004;120
mailbox;allgather;1;1;120;26803;120
mailbox;allgather;1;1;120;30633;120
mailbox;allgather;1;1;120;28940;120
mailbox;allgather;1;1;120;26631;120
mailbox;allgather;1;1;120;26586;120
mailbox;allgather;1;1;120;27517;120
mailbox;allgather;1;1;120;26503;120
mailbox;allgather;1;1;120;28940;120
mailbox;allgather;1;1;120;27468;120
mailbox;allgather;1;1;120;26716;120
mailbox;allgather;1;1;120;28587;120
mailbox;allgather;1;1;120;26627;120
mailbox;allgather;1;1;120;28939;120
mailbox;allgather;1;1;120;27156;120
mailbox;allgather;1;1;120;27820;120
mailbox;allgather;1;1;120;27882;120
mailbox;allgather;1;1;120;26532;120
mailbox;allgather;1;1;120;28000;120
mailbox;allgather;1;1;120;26356;120
mailbox;allgather;1;1;120;26804;120
mailbox;allgather;1;2;120;49487;240
mailbox;allgather;1;2;120;46440;240
mailbox;allgather;1;2;120;48503;240
mailbox;allgather;1;2;120;48949;240
mailbox;allgather;1;2;120;48772;240
mailbox;allgather;1;2;120;49042;240
mailbox;allgather;1;2;120;48010;240
mailbox;allgather;1;2;120;52812;240
mailbox;allgather;1;2;120;46508;240
mailbox;allgather;1;2;120;45205;240
mailbox;allgather;1;2;120;48688;240
mailbox;allgather;1;2;120;46447;240
mailbox;allgather;1;2;120;49215;240
mailbox;allgather;1;2;120;48240;240
mailbox;allgather;1;2;120;52273;240
mailbox;allgather;1;2;120;48859;240
mailbox;allgather;1;2;120;49594;240
mailbox;allgather;1;2;120;49778;240
mailbox;allgather;1;2;120;49219;240
mailbox;allgather;1;2;120;52047;240
mailbox;allgather;1;2;120;45561;240
mailbox;allgather;1;2;120;48696;240
mailbox;allgather;1;2;120;47109;240
