abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
mailbox;gather;0;1;120;56158;120
mailbox;gather;0;1;120;57098;120
mailbox;gather;0;1;120;57095;120
mailbox;gather;0;1;120;56317;120
mailbox;gather;0;1;120;57095;120
mailbox;gather;0;1;120;53385;120
mailbox;gather;0;1;120;57345;120
mailbox;gather;0;1;120;57076;120
mailbox;gather;0;1;120;57014;120
mailbox;gather;0;1;120;56342;120
mailbox;gather;0;1;120;57160;120
mailbox;gather;0;1;120;57106;120
mailbox;gather;0;1;120;56810;120
mailbox;gather;0;1;120;56587;120
mailbox;gather;0;1;120;54973;120
mailbox;gather;0;1;120;58179;120
mailbox;gather;0;1;120;57286;120
mailbox;gather;0;1;120;56230;120
mailbox;gather;0;1;120;57167;120
mailbox;gather;0;1;120;57094;120
mailbox;gather;0;1;120;56337;120
mailbox;gather;0;1;120;57186;120
mailbox;gather;0;1;120;53508;120
mailbox;gather;0;1;120;57572;120
mailbox;gather;0;1;120;57074;120
mailbox;gather;0;1;120;56995;120
mailbox;gather;0;1;120;56323;120
mailbox;gather;0;1;120;57185;120
mailbox;gather;0;1;120;57097;120
mailbox;gather;0;1;120;56593;120
mailbox;gather;0;1;120;56587;120
mailbox;gather;0;1;120;55070;120
mailbox;gather;0;1;120;58266;120
mailbox;gather;0;1;120;57679;120
mailbox;gather;0;1;120;56333;120
mailbox;gather;0;1;120;57089;120
mailbox;gather;0;1;120;57013;120
mailbox;gather;0;1;120;56147;120
mailbox;gather;0;1;120;56820;120
mailbox;gather;0;1;120;54980;120
mailbox;gather;0;1;120;58254;120
mailbox;gather;0;1;120;57391;120
mailbox;gather;0;1;120;56244;120
mailbox;gather;0;1;120;57063;120
mailbox;gather;0;1;120;57095;120
mailbox;gather;0;1;120;56151;120
mailbox;gather;0;1;120;56825;120
mailbox;gather;0;1;120;54970;120
mailbox;gather;0;1;120;58266;120
mailbox;gather;0;1;120;57285;120
mailbox;gather;0;2;120;73791;240
mailbox;gather;0;2;120;71986;240
mailbox;gather;0;2;120;71727;240
mailbox;gather;0;2;120;71727;240
mailbox;gather;0;2;120;71944;240
mailbox;gather;0;2;120;71716;240
mailbox;gather;0;2;120;71984;240
mailbox;gather;0;2;120;71986;240
mailbox;gather;0;2;120;71721;240
mailbox;gather;0;2;120;71926;240
mailbox;gather;0;2;120;71943;240
mailbox;gather;0;2;120;71835;240
mailbox;gather;0;2;120;71834;240
mailbox;gather;0;2;120;71721;240
mailbox;gather;0;2;120;71716;240
mailbox;gather;0;2;120;71727;240
mailbox;gather;0;2;120;71835;240
mailbox;gather;0;2;120;71718;240
mailbox;gather;0;2;120;71716;240
mailbox;gather;0;2;120;71727;240
mailbox;gather;0;2;120;71727;240
mailbox;gather;0;2;120;71921;240
mailbox;gather;0;2;120;71884;240
mailbox;gather;0;2;120;71921;240
mailbox;gather;0;2;120;72085;240
mailbox;gather;0;2;120;71717;240
mailbox;gather;0;2;120;71986;240
mailbox;gather;0;2;120;71727;240
mailbox;gather;0;2;120;71815;240
mailbox;gather;0;2;120;72085;240
mailbox;gather;0;2;120;71826;240
mailbox;gather;0;2;120;71826;240
mailbox;gather;0;2;120;71984;240
mailbox;gather;0;2;120;71716;240
mailbox;gather;0;2;120;71986;240
mailbox;gather;0;2;120;71926;240
mailbox;gather;0;2;120;72014;240
mailbox;gather;0;2;120;71716;240
mailbox;gather;0;2;120;71826;240
mailbox;gather;0;2;120;71986;240
mailbox;gather;0;2;120;71926;240
mailbox;gather;0;2;120;71736;240
mailbox;gather;0;2;120;71921;240
mailbox;gather;0;2;120;71826;240
mailbox;gather;0;2;120;71831;240
mailbox;gather;0;2;120;71943;240
mailbox;gather;0;2;120;72008;240
mailbox;gather;0;2;120;71835;240
mailbox;gather;0;2;120;71921;240
mailbox;gather;0;2;120;72001;240
mailbox;gather;0;3;120;83837;360
mailbox;gather;0;3;120;84139;360
mailbox;gather;0;3;120;84213;360
mailbox;gather;0;3;120;84217;360
mailbox;gather;0;3;120;84109;360
mailbox;gather;0;3;120;82779;360
mailbox;gather;0;3;120;83915;360
mailbox;gather;0;3;120;84425;360
mailbox;gather;0;3;120;83363;360
mailbox;gather;0;3;120;85556;360
mailbox;gather;0;3;120;83913;360
mailbox;gather;0;3;120;83538;360
mailbox;gather;0;3;120;83546;360
mailbox;gather;0;3;120;83400;360
mailbox;gather;0;3;120;83680;360
mailbox;gather;0;3;120;82740;360
mailbox;gather;0;3;120;83474;360
mailbox;gather;0;3;120;83432;360
mailbox;gather;0;3;120;83343;360
mailbox;gather;0;3;120;83475;360
mailbox;gather;0;3;120;83448;360
mailbox;gather;0;3;120;83468;360
mailbox;gather;0;3;120;83430;360
mailbox;gather;0;3;120;83458;360
mailbox;gather;0;3;120;83448;360
mailbox;gather;0;3;120;83468;360
mailbox;gather;0;3;120;83347;360
mailbox;gather;0;3;120;83475;360
mailbox;gather;0;3;120;83430;360
mailbox;gather;0;3;120;83468;360
mailbox;gather;0;3;120;83468;360
mailbox;gather;0;3;120;83458;360
mailbox;gather;0;3;120;83430;360
mailbox;gather;0;3;120;83433;360
mailbox;gather;0;3;120;83475;360
mailbox;gather;0;3;120;83467;360
mailbox;gather;0;3;120;83330;360
mailbox;gather;0;3;120;83431;360
mailbox;gather;0;3;120;83433;360
mailbox;gather;0;3;120;83656;360
mailbox;gather;0;3;120;83584;360
mailbox;gather;0;3;120;83465;360
mailbox;gather;0;3;120;83566;360
mailbox;gather;0;3;120;83680;360
mailbox;gather;0;3;120;83615;360
mailbox;gather;0;3;120;83517;360
mailbox;gather;0;3;120;83695;360
mailbox;gather;0;3;120;83610;360
mailbox;gather;0;3;120;83587;360
mailbox;gather;0;3;120;83575;360
mailbox;gather;0;4;120;98447;480
mailbox;gather;0;4;120;96559;480
mailbox;gather;0;4;120;97133;480
mailbox;gather;0;4;120;96858;480
mailbox;gather;0;4;120;97397;480
mailbox;gather;0;4;120;97426;480
mailbox;gather;0;4;120;95836;480
mailbox;gather;0;4;120;95385;480
mailbox;gather;0;4;120;94314;480
mailbox;gather;0;4;120;94703;480
mailbox;gather;0;4;120;95934;480
mailbox;gather;0;4;120;97984;480
mailbox;gather;0;4;120;98358;480
mailbox;gather;0;4;120;99131;480
mailbox;gather;0;4;120;96795;480
mailbox;gather;0;4;120;96537;480
mailbox;gather;0;4;120;98910;480
mailbox;gather;0;4;120;96379;480
mailbox;gather;0;4;120;96881;480
mailbox;gather;0;4;120;97244;480
mailbox;gather;0;4;120;97336;480
mailbox;gather;0;4;120;97328;480
mailbox;gather;0;4;120;97443;480
mailbox;gather;0;4;120;97414;480
mailbox;gather;0;4;120;97342;480
mailbox;gather;0;4;120;97339;480
mailbox;gather;0;4;120;97241;480
mailbox;gather;0;4;120;97336;480
mailbox;gather;0;4;120;97334;480
mailbox;gather;0;4;120;97425;480
mailbox;gather;0;4;120;97254;480
mailbox;gather;0;4;120;97332;480
mailbox;gather;0;4;120;97414;480
mailbox;gather;0;4;120;97330;480
mailbox;gather;0;4;120;97344;480
