abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
mailbox;pingpong;1;1;120;91927;120
mailbox;pingpong;1;1;120;91473;120
mailbox;pingpong;1;1;120;91919;120
mailbox;pingpong;1;1;120;93280;120
mailbox;pingpong;1;1;120;91726;120
mailbox;pingpong;1;1;120;93159;120
mailbox;pingpong;1;1;120;93269;120
mailbox;pingpong;1;1;120;93309;120
mailbox;pingpong;1;1;120;91639;120
mailbox;pingpong;1;1;120;93117;120
mailbox;pingpong;1;1;120;91981;120
mailbox;pingpong;1;1;120;93356;120
mailbox;pingpong;1;1;120;93288;120
mailbox;pingpong;1;1;120;93294;120
mailbox;pingpong;1;1;120;93207;120
mailbox;pingpong;1;1;120;93357;120
mailbox;pingpong;1;1;120;91916;120
mailbox;pingpong;1;1;120;93325;120
mailbox;pingpong;1;1;120;93229;120
mailbox;pingpong;1;1;120;92437;120
mailbox;pingpong;1;1;120;93240;120
mailbox;pingpong;1;1;120;92333;120
mailbox;pingpong;1;1;120;91441;120
mailbox;pingpong;1;1;120;93303;120
mailbox;pingpong;1;1;120;93286;120
mailbox;pingpong;1;1;120;91907;120
mailbox;pingpong;1;1;120;93301;120
mailbox;pingpong;1;1;120;93248;120
mailbox;pingpong;1;1;120;91605;120
mailbox;pingpong;1;1;120;91566;120
mailbox;pingpong;1;1;120;93363;120
mailbox;pingpong;1;1;120;94295;120
mailbox;pingpong;1;1;120;93113;120
mailbox;pingpong;1;1;120;90936;120
mailbox;pingpong;1;1;120;90995;120
mailbox;pingpong;1;1;120;91997;120
mailbox;pingpong;1;1;120;93192;120
mailbox;pingpong;1;1;120;93245;120
mailbox;pingpong;1;1;120;93310;120
mailbox;pingpong;1;1;120;93189;120
mailbox;pingpong;1;1;120;91891;120
mailbox;pingpong;1;1;120;93448;120
mailbox;pingpong;1;1;120;92066;120
mailbox;pingpong;1;1;120;93244;120
mailbox;pingpong;1;1;120;92114;120
mailbox;pingpong;1;1;120;91635;120
mailbox;pingpong;1;1;120;92985;120
mailbox;pingpong;1;1;120;91989;120
mailbox;pingpong;1;1;120;91898;120
mailbox;pingpong;1;1;120;97361;120
