abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
portal;allgather;1;1;4096;41558;4096
portal;allgather;1;1;4096;8516;4096
portal;allgather;1;1;4096;70023;4096
portal;allgather;1;1;4096;39657;4096
portal;allgather;1;1;4096;39830;4096
portal;allgather;1;1;4096;83433;4096
portal;allgather;1;1;4096;68466;4096
portal;allgather;1;1;4096;8497;4096
portal;allgather;1;1;4096;51359;4096
portal;allgather;1;1;4096;38536;4096
portal;allgather;1;1;4096;83438;4096
portal;allgather;1;1;4096;39506;4096
portal;allgather;1;1;4096;38719;4096
portal;allgather;1;1;4096;38503;4096
portal;allgather;1;1;4096;68266;4096
portal;allgather;1;1;4096;83460;4096
portal;allgather;1;1;4096;69622;4096
portal;allgather;1;1;4096;52577;4096
portal;allgather;1;1;4096;70812;4096
portal;allgather;1;1;4096;40572;4096
portal;allgather;1;1;4096;83635;4096
portal;allgather;1;1;4096;70546;4096
portal;allgather;1;1;4096;52287;4096
portal;allgather;1;1;4096;84800;4096
portal;allgather;1;1;4096;38537;4096
portal;allgather;1;1;4096;70598;4096
portal;allgather;1;1;4096;80377;4096
portal;allgather;1;1;4096;73635;4096
portal;allgather;1;1;4096;69992;4096
portal;allgather;1;1;4096;82084;4096
portal;allgather;1;1;4096;84820;4096
portal;allgather;1;1;4096;51182;4096
portal;allgather;1;1;4096;39664;4096
portal;allgather;1;1;4096;69075;4096
portal;allgather;1;1;4096;38496;4096
portal;allgather;1;1;4096;40629;4096
portal;allgather;1;1;4096;52440;4096
portal;allgather;1;1;4096;50968;4096
portal;allgather;1;1;4096;40782;4096
portal;allgather;1;1;4096;52289;4096
portal;allgather;1;1;4096;70021;4096
portal;allgather;1;1;4096;83457;4096
portal;allgather;1;1;4096;70552;4096
portal;allgather;1;1;4096;69678;4096
portal;allgather;1;1;4096;51185;4096
portal;allgather;1;1;4096;38516;4096
portal;allgather;1;1;4096;81964;4096
portal;allgather;1;1;4096;38516;4096
portal;allgather;1;1;4096;39496;4096
portal;allgather;1;1;4096;38686;4096
portal;allgather;1;1;8192;5820;8192
portal;allgather;1;1;8192;101123;8192
portal;allgather;1;1;8192;176451;8192
portal;allgather;1;1;8192;144690;8192
portal;allgather;1;1;8192;176413;8192
portal;allgather;1;1;8192;146086;8192
portal;allgather;1;1;8192;84219;8192
portal;allgather;1;1;8192;145877;8192
portal;allgather;1;1;8192;109616;8192
portal;allgather;1;1;8192;148922;8192
portal;allgather;1;1;8192;144740;8192
portal;allgather;1;1;8192;109164;8192
portal;allgather;1;1;8192;169850;8192
portal;allgather;1;1;8192;174523;8192
portal;allgather;1;1;8192;147993;8192
portal;allgather;1;1;8192;147776;8192
portal;allgather;1;1;8192;109164;8192
portal;allgather;1;1;8192;6167;8192
portal;allgather;1;1;8192;126087;8192
portal;allgather;1;1;8192;109561;8192
portal;allgather;1;1;8192;175016;8192
portal;allgather;1;1;8192;176469;8192
portal;allgather;1;1;8192;175016;8192
portal;allgather;1;1;8192;146486;8192
portal;allgather;1;1;8192;119184;8192
portal;allgather;1;1;8192;148946;8192
portal;allgather;1;1;8192;134350;8192
portal;allgather;1;1;8192;176358;8192
