abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
portal;broadcast;0;1;4096;128180;4096
portal;broadcast;0;1;4096;128195;4096
portal;broadcast;0;1;4096;127852;4096
portal;broadcast;0;1;4096;128601;4096
portal;broadcast;0;1;4096;128172;4096
portal;broadcast;0;1;4096;128177;4096
portal;broadcast;0;1;4096;127986;4096
portal;broadcast;0;1;4096;128163;4096
portal;broadcast;0;1;4096;128162;4096
portal;broadcast;0;1;4096;129397;4096
portal;broadcast;0;1;4096;129329;4096
portal;broadcast;0;1;4096;128004;4096
portal;broadcast;0;1;4096;128005;4096
portal;broadcast;0;1;4096;128159;4096
portal;broadcast;0;1;4096;127871;4096
portal;broadcast;0;1;4096;128031;4096
portal;broadcast;0;1;4096;127997;4096
portal;broadcast;0;1;4096;128165;4096
portal;broadcast;0;1;4096;127954;4096
portal;broadcast;0;1;4096;128004;4096
portal;broadcast;0;1;4096;128194;4096
portal;broadcast;0;1;4096;128188;4096
portal;broadcast;0;1;4096;129519;4096
portal;broadcast;0;1;4096;127863;4096
portal;broadcast;0;1;4096;127951;4096
portal;broadcast;0;1;4096;128185;4096
portal;broadcast;0;1;4096;128140;4096
portal;broadcast;0;1;4096;129244;4096
portal;broadcast;0;1;4096;128009;4096
portal;broadcast;0;1;4096;127978;4096
portal;broadcast;0;1;4096;128181;4096
portal;broadcast;0;1;4096;127396;4096
portal;broadcast;0;1;4096;129330;4096
portal;broadcast;0;1;4096;127991;4096
portal;broadcast;0;1;4096;128178;4096
portal;broadcast;0;1;4096;128150;4096
portal;broadcast;0;1;4096;128003;4096
portal;broadcast;0;1;4096;128173;4096
portal;broadcast;0;1;4096;127967;4096
portal;broadcast;0;1;4096;128003;4096
portal;broadcast;0;1;4096;128017;4096
portal;broadcast;0;1;4096;129444;4096
portal;broadcast;0;1;4096;129368;4096
portal;broadcast;0;1;4096;128184;4096
portal;broadcast;0;1;4096;128590;4096
portal;broadcast;0;1;4096;126627;4096
portal;broadcast;0;1;4096;127899;4096
portal;broadcast;0;1;4096;127992;4096
portal;broadcast;0;1;4096;129217;4096
portal;broadcast;0;1;4096;128038;4096
portal;broadcast;0;1;8192;246824;8192
portal;broadcast;0;1;8192;248038;8192
portal;broadcast;0;1;8192;246612;8192
portal;broadcast;0;1;8192;246635;8192
portal;broadcast;0;1;8192;246634;8192
portal;broadcast;0;1;8192;246628;8192
portal;broadcast;0;1;8192;246654;8192
portal;broadcast;0;1;8192;178926;8192
portal;broadcast;0;1;8192;248013;8192
portal;broadcast;0;1;8192;245203;8192
portal;broadcast;0;1;8192;246625;8192
portal;broadcast;0;1;8192;246642;8192
portal;broadcast;0;1;8192;246521;8192
portal;broadcast;0;1;8192;246593;8192
portal;broadcast;0;1;8192;180277;8192
portal;broadcast;0;1;8192;246645;8192
portal;broadcast;0;1;8192;247610;8192
portal;broadcast;0;1;8192;246659;8192
portal;broadcast;0;1;8192;246659;8192
portal;broadcast;0;1;8192;246604;8192
portal;broadcast;0;1;8192;246739;8192
portal;broadcast;0;1;8192;248140;8192
portal;broadcast;0;1;8192;246746;8192
portal;broadcast;0;1;8192;180262;8192
portal;broadcast;0;1;8192;247879;8192
