abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
portal;gather;0;1;4096;25991;4096
portal;gather;0;1;4096;24939;4096
portal;gather;0;1;4096;24898;4096
portal;gather;0;1;4096;23820;4096
portal;gather;0;1;4096;24947;4096
portal;gather;0;1;4096;24914;4096
portal;gather;0;1;4096;24901;4096
portal;gather;0;1;4096;26046;4096
portal;gather;0;1;4096;24981;4096
portal;gather;0;1;4096;24903;4096
portal;gather;0;1;4096;23820;4096
portal;gather;0;1;4096;24945;4096
portal;gather;0;1;4096;25255;4096
portal;gather;0;1;4096;24921;4096
portal;gather;0;1;4096;25991;4096
portal;gather;0;1;4096;24805;4096
portal;gather;0;1;4096;24921;4096
portal;gather;0;1;4096;23824;4096
portal;gather;0;1;4096;24944;4096
portal;gather;0;1;4096;24918;4096
portal;gather;0;1;4096;24892;4096
portal;gather;0;1;4096;26046;4096
portal;gather;0;1;4096;24900;4096
portal;gather;0;1;4096;24902;4096
portal;gather;0;1;4096;23811;4096
portal;gather;0;1;4096;24751;4096
portal;gather;0;1;4096;25255;4096
portal;gather;0;1;4096;24892;4096
portal;gather;0;1;4096;25994;4096
portal;gather;0;1;4096;25009;4096
portal;gather;0;1;4096;24919;4096
portal;gather;0;1;4096;23820;4096
portal;gather;0;1;4096;24944;4096
portal;gather;0;1;4096;24917;4096
portal;gather;0;1;4096;24892;4096
portal;gather;0;1;4096;26048;4096
portal;gather;0;1;4096;25009;4096
portal;gather;0;1;4096;25249;4096
portal;gather;0;1;4096;24907;4096
portal;gather;0;1;4096;24823;4096
portal;gather;0;1;8192;41917;8192
portal;gather;0;1;8192;41921;8192
portal;gather;0;1;8192;42506;8192
portal;gather;0;1;8192;41655;8192
portal;gather;0;1;8192;41893;8192
portal;gather;0;1;8192;41891;8192
portal;gather;0;1;8192;41915;8192
portal;gather;0;1;8192;41836;8192
portal;gather;0;1;8192;41735;8192
portal;gather;0;1;8192;41893;8192
portal;gather;0;1;8192;43030;8192
portal;gather;0;1;8192;42339;8192
portal;gather;0;1;8192;41869;8192
portal;gather;0;1;8192;41879;8192
portal;gather;0;1;8192;41890;8192
portal;gather;0;1;8192;43021;8192
portal;gather;0;1;8192;41892;8192
portal;gather;0;1;8192;41900;8192
portal;gather;0;1;8192;41937;8192
portal;gather;0;1;8192;42508;8192
portal;gather;0;1;8192;41648;8192
portal;gather;0;1;8192;41910;8192
portal;gather;0;1;8192;40784;8192
portal;gather;0;1;8192;41906;8192
portal;gather;0;1;8192;41978;8192
portal;gather;0;1;8192;41753;8192
portal;gather;0;1;8192;41920;8192
portal;gather;0;1;8192;43054;8192
portal;gather;0;1;8192;41915;8192
portal;gather;0;1;8192;42043;8192
portal;gather;0;1;8192;41755;8192
portal;gather;0;1;8192;41918;8192
portal;gather;0;1;8192;43030;8192
portal;gather;0;1;8192;42341;8192
portal;gather;0;1;8192;41796;8192
portal;gather;0;1;8192;41920;8192
portal;gather;0;1;8192;41881;8192
portal;gather;0;1;8192;42943;8192
portal;gather;0;1;8192;41894;8192
portal;gather;0;1;8192;41853;8192
portal;gather;0;1;16384;75887;16384
portal;gather;0;1;16384;75954;16384
portal;gather;0;1;16384;76993;16384
portal;gather;0;1;16384;75982;16384
portal;gather;0;1;16384;75942;16384
portal;gather;0;1;16384;75897;16384
portal;gather;0;1;16384;75870;16384
portal;gather;0;1;16384;75743;16384
portal;gather;0;1;16384;75898;16384
portal;gather;0;1;16384;75909;16384
portal;gather;0;1;16384;76926;16384
portal;gather;0;1;16384;75890;16384
portal;gather;0;1;16384;76287;16384
portal;gather;0;1;16384;75876;16384
portal;gather;0;1;16384;75953;16384
portal;gather;0;1;16384;77005;16384
portal;gather;0;1;16384;75894;16384
portal;gather;0;1;16384;75969;16384
portal;gather;0;1;16384;76964;16384
portal;gather;0;1;16384;75890;16384
portal;gather;0;1;16384;75927;16384
portal;gather;0;1;16384;75946;16384
portal;gather;0;1;16384;75983;16384
portal;gather;0;1;16384;75889;16384
portal;gather;0;1;16384;75886;16384
portal;gather;0;1;16384;75879;16384
portal;gather;0;1;16384;75745;16384
portal;gather;0;1;16384;75896;16384
portal;gather;0;1;16384;75918;16384
portal;gather;0;1;16384;76926;16384
portal;gather;0;1;16384;75890;16384
portal;gather;0;1;16384;75970;16384
portal;gather;0;1;16384;75945;16384
portal;gather;0;1;16384;75948;16384
portal;gather;0;1;16384;75712;16384
portal;gather;0;1;16384;75942;16384
portal;gather;0;1;16384;75870;16384
portal;gather;0;1;16384;76936;16384
portal;gather;0;1;16384;75789;16384
portal;gather;0;1;16384;75866;16384
portal;gather;0;1;32768;143861;32768
portal;gather;0;1;32768;142773;32768
portal;gather;0;1;32768;144959;32768
portal;gather;0;1;32768;143684;32768
portal;gather;0;1;32768;143890;32768
portal;gather;0;1;32768;143938;32768
portal;gather;0;1;32768;143901;32768
portal;gather;0;1;32768;144234;32768
portal;gather;0;1;32768;143897;32768
portal;gather;0;1;32768;143930;32768
portal;gather;0;1;32768;143796;32768
portal;gather;0;1;32768;142733;32768
portal;gather;0;1;32768;144961;32768
portal;gather;0;1;32768;143615;32768
portal;gather;0;1;32768;145163;32768
portal;gather;0;1;32768;143915;32768
portal;gather;0;1;32768;143871;32768
portal;gather;0;1;32768;143901;32768
portal;gather;0;1;32768;143927;32768
portal;gather;0;1;32768;143796;32768
portal;gather;0;1;32768;142765;32768
portal;gather;0;1;32768;144961;32768
portal;gather;0;1;32768;143684;32768
portal;gather;0;1;32768;143894;32768
portal;gather;0;1;32768;143773;32768
portal;gather;0;1;32768;143943;32768
portal;gather;0;1;32768;143907;32768
portal;gather;0;1;32768;143874;32768
portal;gather;0;1;32768;143888;32768
portal;gather;0;1;32768;143852;32768
portal;gather;0;1;32768;142772;32768
portal;gather;0;1;32768;144963;32768
portal;gather;0;1;32768;143684;32768
portal;gather;0;1;32768;143890;32768
portal;gather;0;1;32768;143938;32768
portal;gather;0;1;32768;143900;32768
portal;gather;0;1;32768;144231;32768
portal;gather;0;1;32768;143903;32768
portal;gather;0;1;32768;143883;32768
portal;gather;0;1;32768;143849;32768
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279895;65536
portal;gather;0;1;65536;279857;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279900;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279900;65536
portal;gather;0;1;65536;279860;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279857;65536
portal;gather;0;1;65536;279895;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279900;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279857;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279900;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279895;65536
portal;gather;0;1;65536;279900;65536
portal;gather;0;1;65536;279860;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279857;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279895;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;1;65536;279857;65536
portal;gather;0;1;65536;279903;65536
portal;gather;0;1;65536;279894;65536
portal;gather;0;2;4096;50523;8192
portal;gather;0;2;4096;49571;8192
portal;gather;0;2;4096;49325;8192
portal;gather;0;2;4096;50414;8192
portal;gather;0;2;4096;49483;8192
portal;gather;0;2;4096;49497;8192
portal;gather;0;2;4096;50413;8192
portal;gather;0;2;4096;49493;8192
portal;gather;0;2;4096;49321;8192
portal;gather;0;2;4096;50413;8192
portal;gather;0;2;4096;49391;8192
portal;gather;0;2;4096;49316;8192
portal;gather;0;2;4096;50688;8192
