abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
portal;pingpong;1;1;4096;913643;4096
portal;pingpong;1;1;4096;913705;4096
portal;pingpong;1;1;4096;912887;4096
portal;pingpong;1;1;4096;911472;4096
portal;pingpong;1;1;4096;913405;4096
portal;pingpong;1;1;4096;912695;4096
portal;pingpong;1;1;4096;913529;4096
portal;pingpong;1;1;4096;911413;4096
portal;pingpong;1;1;4096;913108;4096
portal;pingpong;1;1;4096;911346;4096
portal;pingpong;1;1;4096;913888;4096
portal;pingpong;1;1;4096;913743;4096
portal;pingpong;1;1;4096;911295;4096
portal;pingpong;1;1;4096;913831;4096
portal;pingpong;1;1;4096;914347;4096
portal;pingpong;1;1;4096;913669;4096
portal;pingpong;1;1;4096;912153;4096
portal;pingpong;1;1;4096;913660;4096
portal;pingpong;1;1;4096;913761;4096
portal;pingpong;1;1;4096;914007;4096
portal;pingpong;1;1;4096;913128;4096
portal;pingpong;1;1;4096;911420;4096
portal;pingpong;1;1;4096;913722;4096
portal;pingpong;1;1;4096;914310;4096
portal;pingpong;1;1;4096;913268;4096
portal;pingpong;1;1;4096;913640;4096
portal;pingpong;1;1;4096;912847;4096
portal;pingpong;1;1;4096;914201;4096
portal;pingpong;1;1;4096;913066;4096
portal;pingpong;1;1;4096;913067;4096
portal;pingpong;1;1;4096;913415;4096
portal;pingpong;1;1;4096;913583;4096
portal;pingpong;1;1;4096;912757;4096
portal;pingpong;1;1;4096;914043;4096
portal;pingpong;1;1;4096;914248;4096
portal;pingpong;1;1;4096;911257;4096
portal;pingpong;1;1;4096;914351;4096
portal;pingpong;1;1;4096;913530;4096
portal;pingpong;1;1;4096;913620;4096
portal;pingpong;1;1;4096;913903;4096
portal;pingpong;1;1;8192;1832541;8192
portal;pingpong;1;1;8192;1831781;8192
portal;pingpong;1;1;8192;1831957;8192
portal;pingpong;1;1;8192;1833080;8192
portal;pingpong;1;1;8192;1833211;8192
portal;pingpong;1;1;8192;1831913;8192
portal;pingpong;1;1;8192;1831807;8192
portal;pingpong;1;1;8192;1831246;8192
portal;pingpong;1;1;8192;1831704;8192
portal;pingpong;1;1;8192;1832135;8192
portal;pingpong;1;1;8192;1832815;8192
portal;pingpong;1;1;8192;1832302;8192
portal;pingpong;1;1;8192;1831733;8192
portal;pingpong;1;1;8192;1831845;8192
portal;pingpong;1;1;8192;1831072;8192
portal;pingpong;1;1;8192;1832998;8192
portal;pingpong;1;1;8192;1831627;8192
portal;pingpong;1;1;8192;1831503;8192
portal;pingpong;1;1;8192;1831239;8192
portal;pingpong;1;1;8192;1831847;8192
portal;pingpong;1;1;8192;1831650;8192
portal;pingpong;1;1;8192;1832810;8192
portal;pingpong;1;1;8192;1832175;8192
portal;pingpong;1;1;8192;1832817;8192
portal;pingpong;1;1;8192;1832507;8192
portal;pingpong;1;1;8192;1833449;8192
portal;pingpong;1;1;8192;1832295;8192
portal;pingpong;1;1;8192;1831512;8192
portal;pingpong;1;1;8192;1833393;8192
portal;pingpong;1;1;8192;1831187;8192
portal;pingpong;1;1;8192;1831497;8192
portal;pingpong;1;1;8192;1831432;8192
portal;pingpong;1;1;8192;1831768;8192
portal;pingpong;1;1;8192;1833341;8192
portal;pingpong;1;1;8192;1832305;8192
portal;pingpong;1;1;8192;1833300;8192
portal;pingpong;1;1;8192;1833200;8192
portal;pingpong;1;1;8192;1831400;8192
portal;pingpong;1;1;8192;1833350;8192
portal;pingpong;1;1;8192;1831788;8192
portal;pingpong;1;1;8192;1830781;8192
portal;pingpong;1;1;8192;1833089;8192
portal;pingpong;1;1;8192;1831007;8192
portal;pingpong;1;1;8192;1832135;8192
portal;pingpong;1;1;8192;1833661;8192
portal;pingpong;1;1;8192;1832236;8192
portal;pingpong;1;1;8192;1831913;8192
portal;pingpong;1;1;8192;1832734;8192
portal;pingpong;1;1;8192;1833586;8192
portal;pingpong;1;1;8192;1831271;8192
portal;pingpong;1;1;16384;3669561;16384
portal;pingpong;1;1;16384;3668719;16384
portal;pingpong;1;1;16384;3669671;16384
portal;pingpong;1;1;16384;3669387;16384
portal;pingpong;1;1;16384;3670516;16384
portal;pingpong;1;1;16384;3670349;16384
portal;pingpong;1;1;16384;3670293;16384
portal;pingpong;1;1;16384;3670391;16384
portal;pingpong;1;1;16384;3668565;16384
portal;pingpong;1;1;16384;3670716;16384
portal;pingpong;1;1;16384;3669458;16384
portal;pingpong;1;1;16384;3668942;16384
portal;pingpong;1;1;16384;3669087;16384
portal;pingpong;1;1;16384;3670605;16384
portal;pingpong;1;1;16384;3669638;16384
portal;pingpong;1;1;16384;3669661;16384
portal;pingpong;1;1;16384;3671288;16384
portal;pingpong;1;1;16384;3671050;16384
portal;pingpong;1;1;16384;3669497;16384
portal;pingpong;1;1;16384;3668784;16384
portal;pingpong;1;1;16384;3670501;16384
portal;pingpong;1;1;16384;3669266;16384
portal;pingpong;1;1;16384;3669176;16384
portal;pingpong;1;1;16384;3670793;16384
portal;pingpong;1;1;16384;3669638;16384
portal;pingpong;1;1;16384;3668730;16384
portal;pingpong;1;1;16384;3669229;16384
portal;pingpong;1;1;16384;3670300;16384
portal;pingpong;1;1;16384;3668218;16384
portal;pingpong;1;1;16384;3669700;16384
portal;pingpong;1;1;16384;3668620;16384
portal;pingpong;1;1;16384;3669661;16384
portal;pingpong;1;1;16384;3669697;16384
portal;pingpong;1;1;16384;3668611;16384
portal;pingpong;1;1;16384;3668134;16384
portal;pingpong;1;1;16384;3668742;16384
portal;pingpong;1;1;16384;3668853;16384
portal;pingpong;1;1;16384;3668634;16384
portal;pingpong;1;1;16384;3669825;16384
portal;pingpong;1;1;16384;3668218;16384
portal;pingpong;1;1;16384;3669235;16384
portal;pingpong;1;1;16384;3668507;16384
portal;pingpong;1;1;16384;3668281;16384
portal;pingpong;1;1;16384;3670547;16384
portal;pingpong;1;1;16384;3669643;16384
portal;pingpong;1;1;16384;3669276;16384
portal;pingpong;1;1;16384;3670348;16384
portal;pingpong;1;1;16384;3668541;16384
portal;pingpong;1;1;16384;3669828;16384
portal;pingpong;1;1;16384;3670460;16384
portal;pingpong;1;1;32768;7345199;32768
portal;pingpong;1;1;32768;7344790;32768
portal;pingpong;1;1;32768;7343739;32768
portal;pingpong;1;1;32768;7344863;32768
portal;pingpong;1;1;32768;7345757;32768
portal;pingpong;1;1;32768;7344863;32768
portal;pingpong;1;1;32768;7343096;32768
portal;pingpong;1;1;32768;7344360;32768
portal;pingpong;1;1;32768;7344307;32768
portal;pingpong;1;1;32768;7344253;32768
portal;pingpong;1;1;32768;7345727;32768
portal;pingpong;1;1;32768;7344263;32768
portal;pingpong;1;1;32768;7344328;32768
portal;pingpong;1;1;32768;7344264;32768
portal;pingpong;1;1;32768;7344101;32768
portal;pingpong;1;1;32768;7344880;32768
portal;pingpong;1;1;32768;7344237;32768
portal;pingpong;1;1;32768;7344907;32768
portal;pingpong;1;1;32768;7344793;32768
portal;pingpong;1;1;32768;7344405;32768
portal;pingpong;1;1;32768;7344773;32768
portal;pingpong;1;1;32768;7344165;32768
portal;pingpong;1;1;32768;7342939;32768
portal;pingpong;1;1;32768;7344738;32768
portal;pingpong;1;1;32768;7342939;32768
portal;pingpong;1;1;32768;7344458;32768
portal;pingpong;1;1;32768;7345727;32768
portal;pingpong;1;1;32768;7344084;32768
portal;pingpong;1;1;32768;7344253;32768
portal;pingpong;1;1;32768;7344754;32768
portal;pingpong;1;1;32768;7344373;32768
portal;pingpong;1;1;32768;7344101;32768
portal;pingpong;1;1;32768;7344944;32768
portal;pingpong;1;1;32768;7342638;32768
portal;pingpong;1;1;32768;7344715;32768
portal;pingpong;1;1;32768;7345727;32768
portal;pingpong;1;1;32768;7344743;32768
portal;pingpong;1;1;32768;7344405;32768
portal;pingpong;1;1;32768;7344218;32768
portal;pingpong;1;1;32768;7344269;32768
portal;pingpong;1;1;32768;7344652;32768
portal;pingpong;1;1;32768;7344209;32768
portal;pingpong;1;1;32768;7342639;32768
portal;pingpong;1;1;32768;7344288;32768
portal;pingpong;1;1;32768;7344751;32768
portal;pingpong;1;1;32768;7345398;32768
portal;pingpong;1;1;32768;7345727;32768
portal;pingpong;1;1;32768;7344251;32768
portal;pingpong;1;1;32768;7344253;32768
portal;pingpong;1;1;32768;7344637;32768
portal;pingpong;1;1;65536;14694621;65536
portal;pingpong;1;1;65536;14695237;65536
portal;pingpong;1;1;65536;14693359;65536
portal;pingpong;1;1;65536;14693359;65536
portal;pingpong;1;1;65536;14693568;65536
portal;pingpong;1;1;65536;14694169;65536
portal;pingpong;1;1;65536;14693483;65536
portal;pingpong;1;1;65536;14693576;65536
portal;pingpong;1;1;65536;14694371;65536
portal;pingpong;1;1;65536;14695080;65536
portal;pingpong;1;1;65536;14693865;65536
