abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
portal;sather;0;1;4096;104908;4096
portal;sather;0;1;4096;103420;4096
portal;sather;0;1;4096;103454;4096
portal;sather;0;1;4096;104898;4096
portal;sather;0;1;4096;104422;4096
portal;sather;0;1;4096;103430;4096
portal;sather;0;1;4096;103695;4096
portal;sather;0;1;4096;103434;4096
portal;sather;0;1;4096;103440;4096
portal;sather;0;1;4096;98932;4096
portal;sather;0;1;4096;103636;4096
portal;sather;0;1;4096;103430;4096
portal;sather;0;1;4096;103479;4096
portal;sather;0;1;4096;104896;4096
portal;sather;0;1;4096;103590;4096
portal;sather;0;1;4096;104807;4096
portal;sather;0;1;4096;104922;4096
portal;sather;0;1;4096;104254;4096
portal;sather;0;1;4096;103416;4096
portal;sather;0;1;4096;104472;4096
portal;sather;0;1;4096;103450;4096
portal;sather;0;1;4096;103646;4096
portal;sather;0;1;4096;103365;4096
portal;sather;0;1;4096;104448;4096
portal;sather;0;1;4096;104891;4096
portal;sather;0;1;4096;103420;4096
portal;sather;0;1;4096;103462;4096
portal;sather;0;1;4096;103623;4096
portal;sather;0;1;4096;105090;4096
portal;sather;0;1;4096;103416;4096
portal;sather;0;1;4096;103469;4096
portal;sather;0;1;4096;103639;4096
portal;sather;0;1;4096;103445;4096
portal;sather;0;1;4096;103425;4096
portal;sather;0;1;4096;103452;4096
portal;sather;0;1;4096;109810;4096
portal;sather;0;1;4096;104863;4096
portal;sather;0;1;4096;104680;4096
portal;sather;0;1;4096;103436;4096
portal;sather;0;1;4096;103601;4096
portal;sather;0;1;4096;103494;4096
portal;sather;0;1;4096;103480;4096
portal;sather;0;1;4096;103431;4096
portal;sather;0;1;4096;104613;4096
portal;sather;0;1;4096;103648;4096
portal;sather;0;1;4096;103406;4096
portal;sather;0;1;4096;104905;4096
portal;sather;0;1;4096;103446;4096
portal;sather;0;1;4096;104434;4096
portal;sather;0;1;4096;104436;4096
portal;sather;0;1;8192;197699;8192
portal;sather;0;1;8192;197554;8192
portal;sather;0;1;8192;197628;8192
portal;sather;0;1;8192;197897;8192
portal;sather;0;1;8192;197680;8192
portal;sather;0;1;8192;197737;8192
portal;sather;0;1;8192;198821;8192
portal;sather;0;1;8192;197759;8192
portal;sather;0;1;8192;198993;8192
portal;sather;0;1;8192;197532;8192
portal;sather;0;1;8192;197547;8192
portal;sather;0;1;8192;198901;8192
portal;sather;0;1;8192;197561;8192
portal;sather;0;1;8192;197547;8192
portal;sather;0;1;8192;197536;8192
portal;sather;0;1;8192;198907;8192
portal;sather;0;1;8192;199163;8192
portal;sather;0;1;8192;197539;8192
portal;sather;0;1;8192;196144;8192
portal;sather;0;1;8192;186485;8192
portal;sather;0;1;8192;197560;8192
portal;sather;0;1;8192;198614;8192
portal;sather;0;1;8192;197539;8192
portal;sather;0;1;8192;198659;8192
portal;sather;0;1;8192;197787;8192
portal;sather;0;1;8192;198899;8192
portal;sather;0;1;8192;197719;8192
portal;sather;0;1;8192;198856;8192
portal;sather;0;1;8192;197594;8192
portal;sather;0;1;8192;197964;8192
portal;sather;0;1;8192;210009;8192
portal;sather;0;1;8192;197546;8192
portal;sather;0;1;8192;197750;8192
portal;sather;0;1;8192;197617;8192
portal;sather;0;1;8192;197700;8192
portal;sather;0;1;8192;197542;8192
portal;sather;0;1;8192;198891;8192
portal;sather;0;1;8192;198739;8192
portal;sather;0;1;8192;198361;8192
portal;sather;0;1;8192;197610;8192
portal;sather;0;1;8192;198844;8192
portal;sather;0;1;8192;198704;8192
portal;sather;0;1;8192;197612;8192
portal;sather;0;1;8192;197770;8192
portal;sather;0;1;8192;197742;8192
portal;sather;0;1;8192;197420;8192
portal;sather;0;1;8192;186318;8192
portal;sather;0;1;8192;197525;8192
portal;sather;0;1;8192;197720;8192
portal;sather;0;1;8192;197529;8192
portal;sather;0;1;16384;387626;16384
portal;sather;0;1;16384;386377;16384
portal;sather;0;1;16384;386316;16384
portal;sather;0;1;16384;386117;16384
portal;sather;0;1;16384;386308;16384
portal;sather;0;1;16384;384936;16384
portal;sather;0;1;16384;386266;16384
portal;sather;0;1;16384;386319;16384
portal;sather;0;1;16384;386371;16384
