abstraction;kernel;nioclusters;ncclusters;buffersize;latency;volume
portal;allgather;1;16;4096;187059;65536
portal;allgather;1;16;4096;190777;65536
portal;allgather;1;16;4096;186293;65536
portal;allgather;1;16;4096;202965;65536
portal;allgather;1;16;4096;193875;65536
portal;allgather;1;16;4096;183121;65536
portal;allgather;1;16;4096;187975;65536
portal;allgather;1;16;4096;190781;65536
portal;allgather;1;16;4096;180496;65536
portal;allgather;1;16;4096;180169;65536
portal;allgather;1;16;4096;179053;65536
portal;allgather;1;16;4096;202872;65536
portal;allgather;1;16;4096;178686;65536
portal;allgather;1;16;4096;193715;65536
portal;allgather;1;16;4096;181283;65536
portal;allgather;1;16;4096;187233;65536
portal;allgather;1;16;4096;191238;65536
portal;allgather;1;16;4096;206270;65536
portal;allgather;1;16;4096;187094;65536
portal;allgather;1;16;4096;187383;65536
portal;allgather;1;16;4096;182934;65536
portal;allgather;1;16;4096;187733;65536
portal;allgather;1;16;4096;183468;65536
portal;allgather;1;16;4096;196018;65536
portal;allgather;1;16;4096;182537;65536
portal;allgather;1;16;4096;181201;65536
portal;allgather;1;16;4096;183677;65536
portal;allgather;1;16;4096;199452;65536
portal;allgather;1;16;4096;183220;65536
portal;allgather;1;16;4096;187627;65536
portal;allgather;1;16;4096;184309;65536
portal;allgather;1;16;4096;180640;65536
portal;allgather;1;16;4096;179079;65536
portal;allgather;1;16;4096;182524;65536
portal;allgather;1;16;4096;177674;65536
portal;allgather;1;16;4096;196782;65536
portal;allgather;1;16;4096;185421;65536
portal;allgather;1;16;4096;184630;65536
portal;allgather;1;16;4096;184439;65536
portal;allgather;1;16;4096;184121;65536
portal;allgather;1;16;4096;203502;65536
portal;allgather;1;16;8192;254283;131072
portal;allgather;1;16;8192;276447;131072
portal;allgather;1;16;8192;259280;131072
portal;allgather;1;16;8192;258837;131072
portal;allgather;1;16;8192;257938;131072
portal;allgather;1;16;8192;262925;131072
portal;allgather;1;16;8192;258403;131072
portal;allgather;1;16;8192;254973;131072
portal;allgather;1;16;8192;276919;131072
portal;allgather;1;16;8192;255407;131072
portal;allgather;1;16;8192;289286;131072
portal;allgather;1;16;8192;269012;131072
portal;allgather;1;16;8192;267092;131072
portal;allgather;1;16;8192;269031;131072
portal;allgather;1;16;8192;256944;131072
portal;allgather;1;16;8192;254215;131072
portal;allgather;1;16;8192;259764;131072
portal;allgather;1;16;8192;285537;131072
portal;allgather;1;16;8192;253272;131072
portal;allgather;1;16;8192;285176;131072
portal;allgather;1;16;8192;260999;131072
portal;allgather;1;16;8192;259332;131072
portal;allgather;1;16;8192;252836;131072
portal;allgather;1;16;8192;295646;131072
portal;allgather;1;16;8192;280398;131072
portal;allgather;1;16;8192;280480;131072
portal;allgather;1;16;8192;262216;131072
portal;allgather;1;16;8192;280636;131072
portal;allgather;1;16;8192;249492;131072
portal;allgather;1;16;8192;252745;131072
portal;allgather;1;16;8192;255768;131072
portal;allgather;1;16;8192;258365;131072
portal;allgather;1;16;8192;247527;131072
portal;allgather;1;16;8192;260708;131072
portal;allgather;1;16;8192;261554;131072
portal;allgather;1;16;8192;254657;131072
portal;allgather;1;16;8192;252410;131072
portal;allgather;1;16;8192;267641;131072
portal;allgather;1;16;8192;272949;131072
portal;allgather;1;16;8192;259437;131072
portal;allgather;1;16;8192;257151;131072
portal;allgather;1;16;16384;416055;262144
portal;allgather;1;16;16384;407925;262144
portal;allgather;1;16;16384;446227;262144
portal;allgather;1;16;16384;418284;262144
portal;allgather;1;16;16384;405444;262144
portal;allgather;1;16;16384;402638;262144
portal;allgather;1;16;16384;403192;262144
portal;allgather;1;16;16384;483580;262144
portal;allgather;1;16;16384;489302;262144
portal;allgather;1;16;16384;409823;262144
portal;allgather;1;16;16384;404414;262144
portal;allgather;1;16;16384;488437;262144
portal;allgather;1;16;16384;418054;262144
portal;allgather;1;16;16384;427037;262144
portal;allgather;1;16;16384;407761;262144
portal;allgather;1;16;16384;480779;262144
portal;allgather;1;16;16384;410937;262144
portal;allgather;1;16;16384;487085;262144
portal;allgather;1;16;16384;412282;262144
portal;allgather;1;16;16384;406237;262144
portal;allgather;1;16;16384;486029;262144
portal;allgather;1;16;16384;483529;262144
portal;allgather;1;16;16384;393842;262144
portal;allgather;1;16;16384;398323;262144
portal;allgather;1;16;16384;485167;262144
portal;allgather;1;16;16384;412639;262144
portal;allgather;1;16;16384;409979;262144
